,id,source,console
0,0,来自辽宁,与身高无
1,1,来自中国香港,黄景瑜哪里有187，他18
2,2,来自云南,我感觉车银优不止183
3,3,来自浙江,这堆里面身高几个真
4,4,来自黑龙江,脸和身高都很重要
5,5,来自山东,肖战183.
6,6,来自江苏,怎么没人说张
7,7,来自浙江,李敏镐是帅哥
8,8,来自北京,为什么没有李政宰
9,9,来自河北,肖战183.
10,10,来自广东,彭冠英19
11,11,来自吉林,竟然这么多185+
12,12,来自内蒙古,刘昊然有185
13,13,来自广东,好多都长高
14,14,来自广东,175以上
15,15,来自广东,白敬亭有183啊。
16,16,来自湖北,考军校吗，还要求身高
17,17,来自黑龙江,认同，不过脸也很重
18,18,来自北京,陈飞宇有188？？绝对没有
19,19,来自广东,王俊凯有1.8米
20,20,来自广西,可以拍
21,21,来自广东,罗志
22,22,来自浙江,好多谎报身高的感
23,23,来自广东,没有胡一天
24,24,来自天津,邱
25,25,来自广东,任嘉伦丁禹兮檀健次都演技很好
26,26,来自安徽,这  很多都是官方身高
27,27,来自浙江,那我想到翟子路 能演
28,28,来自重庆,黄景瑜有187？？？
29,29,来自江苏,根据我多年看剧的经验，完全不是看这些，这是一个很玄的东西，有些人天生没有苏感
30,30,来自福建,这个列表里还有一堆没有苏感的得踢出去
31,31,来自北京,木村拓哉176
32,32,来自北京,放羊的星星照样很多人爱啊，偶像剧苏才是一切
33,33,来自四川,脸好看就行了，我现实又见不到这些（必要时他可以选择增高
34,34,来自江苏,身材也很重要，肩膀要宽，腿要长，头不能太大。不然再高都不好
35,35,来自海南,头大身子小的小鸡崽子好看嘛
36,36,来自山东,啊啊啊啊我们某个矮子点名呢哈
37,37,来自江苏,没有180的粉丝在下面喊不看身高看演技，问题是点进主页，你哥哥好像也没有这个东西啊
38,38,来自上海,感觉演技更重要吧
39,39,来自湖北,180的实际身高就17几吧
40,40,来自福建,内娱演技跟他们身高一样，水分很大
41,41,来自山东,偶像剧又不能只有身高，还要有演技，这里有的人演技太差还是算了
42,42,来自辽宁,你这里面好几个都不到180吧
43,43,来自陕西,不认可，苏不苏都不是用身高来评判的啊
44,44,来自北京,成毅实打实181大帅哥，bg之神
45,45,来自福建,肖战183.6，学校体检的时候测的，净身
46,46,来自浙江,谢霆锋
47,47,来自四川,我感觉身高只是一部分，还是要看五
48,48,来自上海,松本润的道明寺最苏，他也最矮
49,49,来自广东,可以
50,50,来自浙江,身高都是父母给的 ，以前的演员用演技说话，用演技打脸
51,51,来自山西,和女主身高差合适有苏感就可以了，也没要求女演员必须多高吧，合适最重要，演技也重要
52,52,来自上海,笑死
53,53,来自四川,我觉得最关键还是演技吧，与身高无
54,54,来自安徽,不把我檀健次大哥放眼里是吧
55,55,来自上海,可以参考一下日剧男主身高
56,56,来自浙江,我感觉脸和比例比身高更重要，比例好个子175以上就算全身看着也还可以了，脸好拉近景好
57,57,来自山东,张新成也180cm，我觉得他演技好且长得帅
58,58,来自新疆,长得再高 要颜值没颜值 要演技没演技 要身材没身材的是要让观众自戳双眼吗
59,59,来自北京,那要看对手戏的女演员啊 只要比女主高就行了……不太能接受女高男
60,60,来自贵州,林一肯定不止187
61,61,来自安徽,我们张凌赫188
62,62,来自河南,演技比脸重要，脸比身高重要！比如林志颖，苏有朋
63,63,来自广西,可以拍，但不能是小鸡仔儿
64,64,来自辽宁,嗯 我大胆开麦 比如不到一米七谎称177的罗云
65,65,来自陕西,你看看你像话吗，王安宇到底182还是183啊
66,66,来自浙江,同等条件下当然选高的啦，站哪儿气场都不一样
67,67,来自甘肃,我的白白什么都适合
68,68,来自广东,还要看演技和脸呀。如果只是考虑高度，要么找电线杆拍偶像剧
